FCFS,Shortest go first
3.1281,1.5607
3.9789,1.3006
4.2099,1.1224
4.5625,0.9821
4.6406,0.873
4.5309,1.3417
4.8986,1.2282
5.3422,1.1312
5.5573,1.0556
5.7204,0.9802
5.9195,1.7106
6.2515,1.6054
6.5726,2.3135
6.881,2.185
6.8166,2.07
6.6041,1.9665
6.3422,1.8729
6.054,1.8
5.9479,1.834
5.8109,1.7576
5.5785,1.6637
5.4024,2.2304
5.3949,2.1971
5.3225,2.1199
5.159,1.9536
4.9902,2.0789
4.9426,2.7884
4.9132,2.7013
4.8582,2.6194
4.7872,2.5424
4.6504,2.4503
4.5213,2.9647
4.425,2.8846
4.3085,2.7876
4.1981,3.2177
4.1421,3.1372
4.0926,3.106
3.9952,3.032
3.9023,2.9615
3.8136,2.8942
3.734,2.855
3.6695,2.8423
3.5914,2.7818
3.5166,2.9368
3.4448,2.8769
3.3759,2.8272
3.3097,2.7726
3.2461,2.9099
3.2792,2.8586
3.3196,3.3908
3.3011,3.1941
3.321,3.1915
3.2627,3.1956
3.2778,3.7964
3.3378,3.831
3.3088,3.7671
3.2545,3.7022
3.202,3.6425
3.1512,3.5586
3.102,3.9332
3.1012,3.8892
3.0542,3.8303
3.0086,3.7731
2.9644,4.2803
2.9566,4.2183
2.9603,4.1694
2.9186,4.1121
2.8781,4.055
2.8387,2.7756
2.8251,2.7397
2.7976,2.7032
2.7608,2.6676
2.725,2.633
2.69,2.8642
2.656,2.5689
2.6589,2.5449
2.634,2.5134
2.6019,2.4831
2.5705,2.9748
2.573,3.2837
2.6321,3.609
2.7174,3.5936
2.7824,3.5065
2.8513,3.4914
2.9381,3.5463
3.0075,3.5078
3.0534,3.4697
3.0418,3.4319
3.0091,2.6235
2.9787,2.5989
2.9666,2.9897
2.9855,2.9585
2.9947,3.3449
3.0077,3.3709
3.0069,3.3368
3.0087,3.3035
2.9921,3.2708
2.9628,3.1481
2.9427,3.1175
2.9144,3.2859
2.9166,3.2572
2.926,3.2355
2.9319,3.2052
2.9047,3.3704
2.9054,3.3394
2.9078,3.3701
2.9004,3.5499
2.8896,3.5182
2.8797,3.9168
2.8993,3.8836
2.9095,3.8498
2.9066,3.8403
2.9152,3.8075
2.9212,3.7754
2.9285,3.7726
2.9077,3.6973
2.8837,3.6668
2.86,3.9974
2.8368,3.965
2.8139,3.9334
2.7914,3.8713
2.771,3.8704
2.765,3.9906
2.7569,4.2786
2.7893,4.2492
2.8118,4.5127
2.8498,4.4782
2.8864,4.8351
2.9703,4.8836
3.0681,4.8472
3.1178,4.8113
3.1475,4.9782
3.1821,5.1176
3.2437,5.0805
3.2925,5.044
3.3097,5.0051
3.3344,4.9701
3.3657,4.9351
3.3967,4.9099
3.403,4.8834
3.4087,4.8475
3.4089,4.8143
3.4077,5.196
3.4279,5.1655
3.4336,5.1308
3.4273,5.1248
3.4198,5.1019
3.4115,5.0683
3.3985,5.0352
3.3764,4.9604
3.3607,5.4497
3.3613,5.42
3.3523,5.3877
3.3555,5.3583
3.3343,5.2656
3.3244,5.7604
3.332,5.7476
3.3379,5.7201
3.3535,5.688
3.3497,6.0472
3.3659,6.0105
3.3645,5.9743
3.3519,5.9385
3.332,5.9032
3.3123,6.201
3.3016,6.1649
3.2973,6.1294
3.2781,6.0938
3.2591,6.0641
3.2449,6.034
3.2332,5.9997
3.2149,5.9656
3.2001,5.9389
3.1821,6.249
3.1644,6.1911
3.1468,6.1567
3.1294,6.1213
3.1239,6.0908
3.1141,6.0666
3.1019,6.0367
3.1005,6.0041
3.0973,5.9718
3.0918,5.9399
3.0753,5.9445
3.0677,5.9208
3.0516,5.8897
3.0356,6.2252
3.106,6.1927
3.1724,6.1606
3.2202,6.1289
3.2037,6.0975
3.1916,6.0682
3.1754,6.4194
3.1783,6.387
3.1624,6.3549
3.1466,6.8017
3.1589,7.3356
3.1972,7.3099
